"Dates_YYYYMMDD" "Time_hhmm" "Red_av" "Red_sd" "Green_av" "Green_sd" "Blue_av" "Blue_sd" "Red_Index_av" "Red_Index_sd" "Green_Index_av" "Green_Index_sd" "Blue_Index_av" "Blue_Index_sd" "GEI_av" "GEI_sd" "BRI_av" "BRI_sd"
"2020-09-11" "16:30" 152.397455817629 22.2203440966776 133.377933027781 23.8968801209414 134.852606341024 26.967231902276 0.363729203700825 0.015080852732148 0.316739124446773 0.0063761227142957 0.319531671852402 0.0130928575908338 -20.4941961030923 7.55466386916722 420.627995186434 71.4812703557642
"2020-09-11" "17:00" 148.798415470734 22.0647909001267 129.576718313814 23.7461153132652 131.352218088512 26.9595561051245 0.364678784933874 0.0152039849675289 0.315886622197402 0.00677855106061794 0.319434592868724 0.0132926167221507 -20.9971969316194 7.90353922207131 409.72735187306 71.2005523210917
"2020-09-12" "08:00" 145.750128333712 27.00863063539 125.634318155912 27.0257104554828 126.915621827518 29.7869329366966 0.367433492639215 0.0164540005980078 0.31505875985105 0.00731603568757426 0.317507747509736 0.0141097815862041 -21.397113849407 8.63460764851828 398.300068317142 82.0885164031091
"2020-09-12" "08:30" 146.760681151737 27.7337184754092 126.985186732245 27.3453618675084 128.292262720338 30.1115717426413 0.366397403567799 0.016287589094109 0.315583500736363 0.00712930907325845 0.318019095695838 0.0138971728318206 -21.0825704075848 8.66406847918701 402.03813060432 83.4757448330846
"2020-09-12" "09:00" 149.853101315162 28.0999799046819 128.794194802542 27.7743774478015 129.888623933644 30.2675191163739 0.368214297998281 0.0161641761482754 0.314881279229357 0.00684105292596271 0.316904422772362 0.0137130533698242 -22.1533356437227 8.28354618675949 408.535920051349 84.4528329192864
"2020-09-12" "09:30" 148.648446722193 28.7949669281926 129.651865639385 28.162368651723 129.718250316148 30.7414583454363 0.365601982798405 0.0160659638147714 0.317538876159334 0.00659352566361621 0.316859141042261 0.0139340488218077 -19.0629657595711 8.12502639099834 408.018562677726 86.0015078149584
"2020-09-12" "10:00" 151.55534797753 28.6469662271731 131.536040160993 28.1064898200744 131.238345730638 30.5128336238378 0.367089832002454 0.0160636987667867 0.31717581968353 0.00640230316557273 0.315734348314016 0.0140063546092686 -19.7216133861816 7.84415018755644 414.32973386916 85.5450604086997
"2020-09-12" "10:30" 150.85103038009 28.9445036600221 129.718243430882 28.0585431071047 130.000461312837 30.6340839504192 0.368758281970089 0.0160783938946905 0.315709893625724 0.00648102413157889 0.315531824404187 0.01387299991583 -21.4150048311618 8.11684080940154 410.569735123809 85.9515224504147
"2020-09-12" "11:00" 150.198738619229 28.0621101811631 129.768024670674 27.6261547799877 129.465705636508 30.0865196157535 0.3682357616815 0.0158312741850443 0.316654982272119 0.00622794967789385 0.31510925604638 0.0137446842943489 -20.1283949143894 7.52725720043012 409.432468926411 84.149193161629
"2020-09-12" "11:30" 150.852464045522 27.3161801003097 130.883757580487 26.6482899856041 130.169549680638 29.1638578105496 0.367381840835977 0.0160589955540742 0.317549171432035 0.00616193859511031 0.315068987731987 0.0140755045694531 -19.254498565187 7.57617532002949 411.905771306648 81.3074503402489
